Collection Title,Institution,Library,Type of Library,Lanuages,General Format,Specific Formats,Academic Field,Subjects,Keywords,URL,Start Year,End Year,Year Range,Description,Address,Latitude,Longitude
Serve the People! Images of Daily Life in China during the Cultural Revolution,Wellesley University,Department of Political Science,Academic,,Image,Photograph,History,Culture,Daily Life,https://library.artstor.org/#/collection/87730856,1972,1972,1972-1972,The photographs in this collection were taken in March-April 1972 by William A. Joseph while he was a participant in the second delegation of the Committee of Concerned Asian Scholars (CCAS) to the People's Republic of China (PRC). Joseph is a Professor of Political Science at Wellesley College,"Wellesley College, Cross Street, College Heights, Wellesley, Norfolk County, Massachusetts, 02482, United States",42.29391363,-71.30592684
China Christian Colleges and Universitites Image database,Yale University,Divinity Library,Academic,,Image,Photograph,"Education, Religion, History",Christan Higher Education,"West China Union University, Chengtu (Chengdu)",https://findit.library.yale.edu/?utf8=%E2%9C%93&id=digcoll%3A1484519&search_field=all_fields&q=Previously+included+in+the+China+Christian+Colleges+and+Universities+Image+Database&ftsearch=on,1882,1978,1882-1978,"7,500 digital images of photographs and films held in the archives of the United Board for Christian Higher Education in Asia and the Lingnan University Board of Trustees","Prospect Walk, New Haven, New Haven County, Connecticut, 06511, United States of America",41.3153106,-72.9260369
Chinese Rare Books at Yale,Yale University,SML East Asia Library,Academic,,Text,Rare Book  ,Literature,History,"Song, Yuan, Ming, Qing, Republic, Rarebook",http://digitalcollections.library.yale.edu/eal/index.dl,960,1949,960-1949,A collection of 439 printed works published between 960 and 1949. ,"Prospect Walk, New Haven, New Haven County, Connecticut, 06511, United States of America",41.3153106,-72.9260369
Divinity Library Photographs,Yale University,Divinity Library,Academic,,Image,Photograph ,History,Personal Life,"Education, Mr. Yorke Allen",https://findit.library.yale.edu/?f%5Bdigital_collection_ssim%5D%5B%5D=Divinity+Library+Photographs,1900,1950,1900-1950,"This collection consists of photographs from manuscript and archival collections held at the Divinity Library. Currently the photographs in this collection relate primarily to missions and world Christianity. They include the Divinity Library's contributions to the International Mission Photography Archive hosted by the University of Southern California, as well as photographs previously delivered by the Library's China Colleges and Universities Image Database. The photographs date from 1855 to 1978.","Prospect Walk, New Haven, New Haven County, Connecticut, 06511, United States of America",41.3153106,-72.9260369
John Thomson's Illustrations of China and Its People,Yale University,Beinecke Rare Book and Manuscript Library,Academic,English,Image,"Photograph, Document",History,"Personal Life, Economic History, Landscape","John Thomson, Every Day Life",https://beinecke.library.yale.edu/collections/highlights/john-thomsons-illustrations-china-and-its-people-1873-1874,1873,1874,1873-1874,"John Thomson (1837-1921), a pioneering Scottish geographer and traveler, was the first known photographer to document the people and landscape of China for publication and dissemination to the Western world. Between 1868 and 1872, he traveled over 6,500 kilometers with his cumbersome camera and equipment, darkroom and chemicals capturing all aspects of Chinese life. The photographs in these four volumes show the many sides of China: sweeping landscapes, royalty and ruling classes, merchants and economic activity, everyday life, and the faces of men, women, and children.","Prospect Walk, New Haven, New Haven County, Connecticut, 06511, United States of America",41.3153106,-72.9260369
Peter Parker's Lam Qua Paintings Collection,Yale University,Harvey Cushing/John Hay Whitney Medical Library,Academic,"Chinese, English, Japanese, French",Image,Painting,"Art, Medicine, Religion","Painting, ","Peter Parker, Missionary, Diplomat, Canton (Guangzhou), Lam Qua",https://library.medicine.yale.edu/find/peter-parker,1820,1840,1820-1840,"Portraits are of men, women, and children of a variety of ages and at various stages in the progression of their tumors.","Prospect Walk, New Haven, New Haven County, Connecticut, 06511, United States of America",41.3153106,-72.9260369
The Nanking Massacre Project,Yale University,Divinity Library,Academic,"Chinese, English","Text, Image, Video","Document, Photo, Film",History,Missionaries ,"Nanking Massacre, ",https://web.library.yale.edu/divinity/digital-collections/nanking-massacre,1937,1938,1937-1938,"The materials found in this collection are housed in the Yale University Divinity School Library's Special Collections. The documents are scattered throughout a number of collections and were selected for inclusion in this project by staff from the Japan ICU Foundation, which provided financial support for the project. The main criterion used for inclusion in the collection was the documents' date, although some documents from outside the core dates were included to provide relevant context.  A listing of the files selected is included in the ""Documents"" section.","Prospect Walk, New Haven, New Haven County, Connecticut, 06511, United States of America",41.3153106,-72.9260369
Cheng Yu Tung East Asian Library - Rare Books Collection,University of Toronto,East Asian Library,Academic,Chinese ,Image,"Rare Book, Text",Literature,Language ,Philosophy,https://archive.org/details/ealmucollection,1609,1985,1609-1985,"A collection of around 2,000 rare books in the Chinese language, created from between 1609 to 1938. ","27 King's College Cir, Toronto, ON M5S, Canada",43.66293825,-79.39581734
Cheng Yu Tung East Asian Library Collections,University of Toronto,East Asian Library,Academic,"Chinese, Japanese, English, Korean, French, Italian",Image,Text,Literature,"Philosophy, Language","Religion, Theater, Fiction",https://archive.org/details/chengyutung,1786,1985,1786-1985,"A collection of digitized book in various languages, with subject matter on religion, language, and philosophy spanning from 1786 to 1985. ","27 King's College Cir, Toronto, ON M5S, Canada",43.66293825,-79.39581734
Scarboro Foreign Mission Society Collection,Scarboro Foreign Mission Society,N/A,Community,English,Image,Magazine ,Religion,"History, Religion","Missionary, ",https://archive.org/details/scarboromissions,1919,2007,1919-2007,"The Scarboro Foreign Mission Society is a Roman Catholic missionary community involved in mission overseas and in Canada. Founded in Canada in 1918 by Fr. John Fraser, Scarboro's initial purpose was to train and send missionary priests to China . Forced to leave China after the Second World War, Scarboro began working in the Caribbean, Latin America, Japan, and the Philippines. Since 1919 the continuing story of this made-in-Canada missionary community has been captured on the pages of China magazine (1919-1950) and its successor, Scarboro Missions magazine (1950-present).","61 Fairfax Crescent #124, Scarborough, ON M1L 1Z7, Canada",43.71610583,-79.28305316
Missionary Research Library pamphlets,Columbia University,Columbia University Library,Academic,Chinese,Image,Text,History,Literature ,Law,https://archive.org/details/culchineselaw,1458,2021,1458-2021,"Select pamphlets from the Missionary Research Library (MRL) founded in 1914 under the leadership of John R. Mott with funding from John D. Rockefeller, Jr.This collection includes books on missions to China, China's education, religion, society, Chinese Americans and etc. ","West 120th Street, Morningside Heights, Manhattan Community Board 9, Manhattan, New York County, New York, 10027, United States of America",40.8072721,-73.9638133
Chinese Graphic Novels,Dartmouth College,Baker-Berry Library,Academic,Chinese,Text,Graphic Novel,Literature,"Education, Political History",Youth,https://library.artstor.org/#/collection/87731073,1957,1989,1957-1989,"Since 2014, the Dartmouth College Library has selectively collected over a dozen titles of Chinese graphic novels ranging from 1957-1989 with the majority published in the 1970s. The examples in this exhibit provide some insight into how millions of Chinese school aged children were educating themselves in the midst of political turmoil during the Cultural Revolution. In addition, they provide readers a glimpse of what life was like under the circumstances and serve as a testimony to the impacts these movements brought to people and society.This collection also includes a video in which the curator introduced the background and content of these graphic novels. ","Valley Road, Rivercrest, Hanover, Grafton County, New Hampshire, 03755, United States of America",43.7053972,-72.2909333
Chinese Artifacts at the Art Museum Collection,"SUNY, Binghamton",Art Museum,Academic,Chinese,Image,"Photograph, Painting, Drawing ",Art,"Landscape, Architecture",Decorative Arts,https://library.artstor.org/#/search/artsubject:(China);donatinginstitutionids=%5B10176%5D,-1051,1996,-1051-1996,"A collection of various photographs, drawings and objects associated with China from -1051 to 1996. ","4400 Vestal Pkwy E, Binghamton, NY 13902",42.0894447,-75.96957433
Palace Buildings of Peking 1906,Trinity College,Watkinson Library,Academic,"Chinese, English",Image,Photograph,Art,"Landscape, Architecture","Imperial Palace, Peking",https://library.artstor.org/#/collection/87732618,1906,1906,1906-1906,"172 photographs of the Imperial Palace in Peking, taken by Kazumasa Ogawa and published as callotype prints 1906 in a 2-volume set titled Photographs of Palace Buildings of Peking.","300 Summit St, Hartford, CT 06106",41.74766138,-72.69032708
Yao Ceremonial Artifacts Collection,Ohio University ,Frederick and Kazuko Harris Art Library,Academic,,Image,"Scroll, Painting",Art,Religious,"Ceremonial, Temple, Mask",https://www.ohio.edu/library/collections/digital-archives/yao-ceremonial-artifacts,1800,1999,1800-1999,"As a research and study collection, the Frederick and Kazuko Harris Fine Arts Library maintains this one of a kind cultural resource, likely the largest of its kind. Consisting of approximately 2000 pieces of ceremonial and temple art from the north of Vietnam, using Chinese ink and watercolor technique.Unique objects featured in the collection include a generous sampling of head dress-type objects (masks), small and large hand scrolls, hanging scrolls, some books and textiles. ","1 Ohio University, Athens OH 45701-2979",39.32505989,-82.10137511
Chinese News (Jia Hua Shi Bao),"University of California, San Diego",East Asian Collection,Academic,,Text,,,"Chinese Overseas, History","Chinese Americans, Newspapers",https://library.ucsd.edu/dc/collection/bb1439013c,1983,1996,1983-1996,"The Chinese News, the inaugural content for the Sally T. WongAvery collection, features a digital archive of the newspaper created from the print archive donated by Mr. Stanley Ting in partnership with UC San Diego Alumna, Lawyer and Philanthropist Ms. Sally T. WongAvery. The Chinese News, founded by Mr. Ting in 1983, distributed news and advertising to the Chinese-American population in San Diego until 1998. The weekly newspaper contains local and international news articles written in Chinese in addition to advertising in English and Chinese.","9500 Gilman Dr, La Jolla, CA 92093",32.88155369,-117.2374964
Norman Spencer Photographs,"University of California, San Diego",East Asian Collection,Academic,,Image,,,Art,,https://library.ucsd.edu/dc/collection/bb27365786,1999,2019,1999-2019,"Norman A. Spencer, Ph.D. has taught at universities in Africa, China, and the U.S. including the China Communications University in Beijing. From 1999 to 2019 he repeatedly traveled to China documenting notable artists, writers, directors and musicians active in the Chinese independent and underground film and art scene. Most of the photographs were taken in Beijing and later in Dali in Yunnan Province in the southwest of China. Dali is considered a “free zone” where celebrities, artists, writers, and musicians intermingle and celebrate life with local ethnic minorities and with young Chinese who choose to live on the margins of mainstream society. Spencer also documented well known Chinese artists and writers who live in exile in New York City, London, and Paris. Spanning more than twenty years, the photographs in this collection capture a rare glimpse into the lives of the Chinese film and art scene at the turn of the 21st century. Descriptions of the images were provided by Norman Spencer and his wife, Xiaojian Peng.","9500 Gilman Dr, La Jolla, CA 92093",32.88155369,-117.2374964
